,review_text,rating,book_genre,doc
0,"I originally gave this three stars, but it was so close to four that I decided not to be miserly, and bumped it up by one. If you have a kid (and when I say kid I mean a young to middling teenager, or maybe an advanced pre-teen) who likes to read scary stories, they might be into this. It had a very Outer Limits/Twilight Zone kind of feel. This is apparently meant as a middle grades book, and the storytelling style is like that, but some of the elements seem a bit too gruesome for that. (One thing in particular, which I'll detail at the end behind a spoiler tag.) It scared me at points, but my threshold for being scared by things is kind of low. I was scared when I saw The Blair Witch Project, and I'm assured that only total wimps were scared by that. Thematically, this is about friendship, not conforming to ideals of normalcy and perfection, and the temptation to try to change people. I feel like the story elements were not manipulated with maximum deftness, but they are handled reasonably well. I really liked the visual design of the book. The endpapers have a pattern of creepy bugs on them, and throughout the text drawings of small bugs appeared in the margins. There is one thing that's gross, though. I saw it coming, but I winced anyway when it was confirmed, because ew. Soylent Green is made of people! i.e., there's cannibalism here. Even if you look at it as a metaphor for how the non-conformers get eaten up, it seems a bit gratuitous. This author apparently has books forthcoming over the next couple of years, and I'd be willing to give them a try.",4,children,"['originally', 'give_star', 'close', 'decide', 'miserly', 'bump', 'kid', 'kid', 'mean', 'young', 'middling', 'teenager', 'maybe', 'advanced', 'pre_teen', 'like', 'read', 'scary', 'story', 'outer', 'limits', 'twilight', 'zone', 'kind', 'feel', 'apparently', 'mean', 'middle_grade', 'book', 'storytelling', 'style', 'like', 'element', 'bit', 'gruesome', 'thing', 'particular', 'detail', 'end', 'spoiler_tag', 'scare', 'point', 'threshold', 'scare', 'thing', 'kind', 'low', 'scared', 'see', 'blair', 'witch', 'project', 'assure', 'total', 'wimp', 'scare', 'thematically', 'friendship', 'conform', 'ideal', 'normalcy', 'perfection', 'temptation', 'try', 'change', 'people', 'feel', 'like', 'story', 'element', 'manipulate', 'maximum', 'deftness', 'handle', 'reasonably', 'like', 'visual', 'design', 'book', 'endpaper', 'pattern', 'creepy', 'bug', 'text', 'drawing', 'small', 'bug', 'appear', 'margin', 'thing', 'gross', 'see', 'come', 'wince', 'confirm', 'ew', 'soylent', 'green', 'people', 'cannibalism', 'look', 'metaphor', 'non', 'conformer', 'eat', 'bit', 'gratuitous', 'author', 'apparently', 'book', 'forthcoming', 'couple', 'year', 'willing', 'try']"
1,"they didnt actually quit, they just wrote letters of complaint and telling the kid what they wanted to see change. Pretty smart really",4,children,"['nt', 'actually', 'quit', 'write', 'letter', 'complaint', 'tell', 'kid', 'want', 'change', 'pretty', 'smart']"
2,"This story follows a family consisting of a father, mother, a boy, and a girl. The kids' father becomes obsessed with his work after he was let go from his job. He spends all day working in the family's basement, and becomes furious if anyone ventures into his work area. After the father is found eating plant food and having leaves grow out of his head, he confesses that he is working on a plant/animal hybrid. The father continues to act weird and is found sleeping with dirt and insects in his bed, and the suit of his previous boss after he comes to visit. Eventually, the kids find a clone of their dad and his previous boss in the basement. A decision must be made as to who is the real dad. The girl cuts one of them who bleeds red, and assumes that it his her dad. She also knows this because he uses her nickname which the plant-clone had not been using for days. I liked this story a lot more than the first book in the series (Welcome to Dead House). Not only did I enjoy the exploration of experimenting with nature and the catastrophic results that it can have, but it also seemed a lot scarier to me. It also explored themes of questioning authority in the form of the kids' parents. I don't think that as a kid I would have been able to see through the plot as well as I did as not only an adult, but an adult who had read this book (at least once) as a kid. There was a lot of foreshadowing however, and I remembered the ending quite vividly. So while the ending may be predictable it is one that will stick with you. The story burrowed A LOT of elements of Invasion of the Body Snatchers such as the plants cloning people and hiding the humans and the clones that have little/no emotion. The biggest difference between the two books is the origin of the ""plants,"" where in this book it's DNA mutation while in Body Snatchers they are of an alien descent. With the first Goosebumps books, I was afraid that I was remembering this series with rose colored glasses, and that although I would enjoy reading through the series as an adult, but that they would not hold up very well and I wouldn't enjoy them as much as an adult. This book seemed to put that fear to rest, and I can honestly say that I also enjoyed this book as an adult.",5,children,"['story', 'follow', 'family', 'consist', 'father', 'mother', 'boy', 'girl', 'kid', 'father', 'obsessed', 'work', 'let', 'job', 'spend', 'day', 'work', 'family', 'basement', 'furious', 'venture', 'work', 'area', 'father', 'find', 'eat', 'plant', 'food', 'have', 'leave', 'grow', 'head', 'confess', 'work', 'plant', 'animal', 'hybrid', 'father', 'continue', 'act', 'weird', 'find', 'sleep', 'dirt', 'insect', 'bed', 'suit', 'previous', 'boss', 'come', 'visit', 'eventually', 'kid', 'find', 'clone', 'dad', 'previous', 'boss', 'basement', 'decision', 'real', 'dad', 'girl', 'cut', 'bleed', 'red', 'assume', 'dad', 'know', 'use', 'nickname', 'plant', 'clone', 'day', 'like', 'story', 'lot', 'book', 'series', 'welcome', 'dead', 'house', 'enjoy', 'exploration', 'experiment', 'nature', 'catastrophic', 'result', 'lot', 'scary', 'explore', 'theme', 'question', 'authority', 'form', 'kid', 'parent', 'think', 'kid', 'able', 'plot', 'adult', 'adult', 'read', 'book', 'kid', 'lot', 'foreshadowing', 'remember', 'ending', 'vividly', 'ending', 'predictable', 'stick', 'story', 'burrow', 'lot', 'element', 'invasion', 'body', 'snatchers', 'plant', 'clone', 'people', 'hide', 'human', 'clone', 'little', 'emotion', 'big', 'difference', 'book', 'origin', 'plant', 'book', 'dna', 'mutation', 'body', 'snatchers', 'alien', 'descent', 'goosebumps', 'book', 'afraid', 'remember', 'series', 'rose', 'colored', 'glass', 'enjoy', 'read', 'series', 'adult', 'hold', 'enjoy', 'adult', 'book', 'fear', 'rest', 'honestly', 'enjoy', 'book', 'adult']"
3,"I don't remember reading this book in school, so I decided to give it a try. Lois Lowry is an incredible story teller. Even though it was a relatively short story, I didn't feel like there was anything missing. The story is told in such a way that you don't realize how different that world is until it is mentioned. I got to the part about  how there is no color in the world   and it felt like a bomb had been dropped because I had no idea. Terrific writing! If you haven't read this I suggest you do!",4,children,"['remember', 'read', 'book', 'school', 'decide', 'try', 'lois', 'lowry', 'incredible', 'story', 'teller', 'relatively', 'short_story', 'feel', 'like', 'missing', 'story', 'tell', 'way', 'realize', 'different', 'world', 'mention', 'get', 'color', 'world', 'feel', 'like', 'bomb', 'drop', 'idea', 'terrific', 'writing', 'read', 'suggest']"
4,"Read for the 2016 YA/MG Book Battle. This book was simply charming. I fell in love with the Penderwick family, both immediate and extended. Birdsall has a real gift for characterization that shows throughout the story, even in the most marginal of side characters (like the kindergarten twins who fall in love with Ben). I had some trouble keeping the three older sisters separate at first, but I'm sure that's because I haven't read any of the other books in the series--a deficiency I plan to remedy immediately. (Why did I read these out of order? Because I'm reading it for the Book Battle 2016 and I wanted to come at it unspoiled. The things I do for friends.) Batty, who's arguably the hero (though her brother Ben takes the narrative frequently), is shy, and one of the things I loved about the book was how life kept challenging her to rise above her shyness. The description of how she essentially made a deal with herself to be able to pass out flyers for her business was perfect--as was the way that business became something she never dreamed of. Her mental hangups, particularly her guilt over the death of her beloved dog, are exactly those of an eleven-year-old, and we see so clearly through her eyes that they feel serious even as I knew with my adult perspective that they're unfounded. I could go on with a series of ""I loved""s--I loved Batty and Ben's relationships with their older friends, especially Jeffrey and Nick; I loved Batty's discovery of her voice and how it felt so precious to her; I loved pretentious Oliver and how Rosalind was the only one who didn't know everyone else disliked him; I loved the dogs and how full of personality they were. But what really struck me was the big twist in the middle: Batty overhears a conversation in which one of her sisters ""reveals"" that the reason their mother died of cancer was because she couldn't be treated for it while she was pregnant--that she gave up her life and all they got in return was Batty. It's a devastating secret to learn, but what makes it work is that Batty is eleven and at the perfect age to take it uncritically, where an older child or adult might question whether Skye's perspective is really valid. It hurt to see her suffer through all the days she carries the secret with her, but what I thought was truly effective was how she doesn't regain her center immediately upon learning the truth. That has to wait for a second epiphany, and that one comes through music--just as it should. I couldn't help comparing this to A Ring of Endless Light, which it faced off against in this year's Book Battle. Both are stories about family and friendship, but where I felt A Ring of Endless Light depicted an unrealistically ""cool"" family, with their affectations and seven-year-olds enjoying Shakespeare, this book has a family that seems incredibly familiar to me, for all it's nothing like the one I grew up in. The character voices are so authentic I found myself wishing to be part of their circle. I'm looking forward to reading more about the Penderwicks, wherever their story takes them.",5,children,"['read', 'ya', 'mg', 'book', 'battle', 'book', 'simply', 'charming', 'fall_love', 'penderwick', 'family', 'immediate', 'extended', 'birdsall', 'real', 'gift', 'characterization', 'show', 'story', 'marginal', 'character', 'like', 'kindergarten', 'twin', 'fall_love', 'ben', 'trouble', 'keep', 'old', 'sister', 'separate', 'sure', 'read', 'book', 'series', 'deficiency', 'plan', 'remedy', 'immediately', 'read', 'order', 'read', 'book', 'battle', 'want', 'come', 'unspoiled', 'thing', 'friend', 'batty', 'arguably', 'hero', 'brother', 'ben', 'take', 'narrative', 'frequently', 'shy', 'thing', 'love', 'book', 'life', 'keep', 'challenge', 'rise', 'shyness', 'description', 'essentially', 'deal', 'able', 'pass', 'flyer', 'business', 'perfect', 'way', 'business', 'dream', 'mental', 'hangup', 'particularly', 'guilt', 'death', 'beloved', 'dog', 'exactly', 'year_old', 'clearly', 'eye', 'feel', 'know', 'adult', 'perspective', 'unfounded', 'series', 'love', 'batty', 'ben', 'relationship', 'old', 'friend', 'especially', 'jeffrey', 'nick', 'love', 'batty', 'discovery', 'voice', 'feel', 'precious', 'love', 'pretentious', 'oliver', 'rosalind', 'know', 'dislike', 'love', 'dog', 'personality', 'strike', 'big', 'twist', 'middle', 'batty', 'overhear', 'conversation', 'sister', 'reveal', 'reason', 'mother', 'die', 'cancer', 'treat', 'pregnant', 'give', 'life', 'get', 'return', 'batty', 'devastating', 'secret', 'learn', 'make', 'work', 'batty', 'perfect', 'age', 'uncritically', 'old', 'child', 'adult', 'question', 'skye', 'perspective', 'valid', 'hurt', 'suffer', 'day', 'carry', 'secret', 'think', 'truly', 'effective', 'regain', 'center', 'immediately', 'learn', 'truth', 'wait', 'second', 'epiphany', 'come', 'music', 'help', 'compare', 'ring', 'endless', 'light', 'face', 'year', 'book', 'battle', 'story', 'family', 'friendship', 'feel', 'ring', 'endless', 'light', 'depict', 'unrealistically', 'cool', 'family', 'affectation', 'seven', 'year_old', 'enjoy', 'shakespeare', 'book', 'family', 'incredibly', 'familiar', 'like', 'grow', 'character', 'voice', 'authentic', 'find', 'wish', 'circle', 'look_forward', 'read', 'penderwicks', 'story', 'take']"
5,"I actually enjoyed this book a lot more than I expected to! It was probably a little longer than was necessary, and at times in the last 1/3 or so, it felt like the author was almost in over her head with everything that was going on. But overall it was really enjoyable and very reminiscent of Roald Dahl. The beginning reminded me so much of Charlie and the Chocolate Factory, and Tabitha's parents were right up there with Matilda's parents as the worst parents ever. I loved the setting and the English mystery atmosphere. Tabitha was such an endearing character, trying her best to remain positive despite having such a miserable life! And her friendship with Pemberley was pretty adorable, too. (And I'm not a mouse person, ha.) I thought her fascination with the Inspector Pensive mystery series was a nice touch, and I even liked the excerpts from those (nonexistent) books at the beginning of each chapter. I figured from the beginning that the Countess wasn't the real Countess...she was way too psychotic and crazy. And I thought that the ""ghosts"" were probably people behind the walls. But the whole twin thing near the end did surprise me. (Oh, so many twins!) I really liked this charming little book and would recommend it to any fans of Roald Dahl.",4,children,"['actually', 'enjoy', 'book', 'lot', 'expect', 'probably', 'little', 'long', 'necessary', 'time', 'feel', 'like', 'author', 'head', 'go', 'overall', 'enjoyable', 'reminiscent', 'roald_dahl', 'beginning', 'remind', 'charlie', 'chocolate', 'factory', 'tabitha', 'parent', 'right', 'matilda', 'parent', 'bad', 'parent', 'love', 'setting', 'english', 'mystery', 'atmosphere', 'tabitha', 'endearing', 'character', 'try', 'good', 'remain', 'positive', 'despite', 'have', 'miserable', 'life', 'friendship', 'pemberley', 'pretty', 'adorable', 'mouse', 'person', 'ha', 'think', 'fascination', 'inspector', 'pensive', 'mystery', 'series', 'nice', 'touch', 'like', 'excerpt', 'nonexistent', 'book', 'beginning', 'chapter', 'figure', 'beginning', 'countess', 'real', 'countess', 'way', 'psychotic', 'crazy', 'think', 'ghost', 'probably', 'people', 'wall', 'twin', 'thing', 'near', 'end', 'surprise', 'oh', 'twin', 'like', 'charming', 'little', 'book', 'recommend', 'fan', 'roald_dahl']"
6,"Georges' family has to move from his Brooklyn home to a nearby apartment, where he meets Safer, a kid his age who runs a Spy Club and is sure that Mr. X, who lives above Georges, is murdering people in his apartment and taking them out of the building in suitcases. Over the span of a few weeks, Georges learns a lot about friends, bullies, spies, and family. Both Safer's family and his own have their own secrets, and Georges has to redefine reality and friendship by the end of the book. I read this on my Kindle and started it one night and finished it the next. The suspense was not heart-pounding or scary, but I really, really wanted to know what was going to happen. I knew from an article I read that things were not what they seemed, and that knowledge probably fueled my curiosity. This was an engrossing read with main characters I really liked. Safer is fairly agoraphobic, and that's why he never leaves the apartment building. The Spy Club thing was a sign his little sister put up years before, and he just kind of made the whole thing up as they went along. Meanwhile, Georges' mom wasn't working double shifts as a nurse during this period--she contracted a bacterial disease from a patient and was hospitalized herself. Georges is in denial of that fact and is protecting himself by pretending that she's just at work. (Review copy on Kindle from my local library)",5,children,"['georges', 'family', 'brooklyn', 'home', 'nearby', 'apartment', 'meet', 'safer', 'kid', 'age', 'run', 'spy', 'club', 'sure', 'x', 'live', 'georges', 'murder', 'people', 'apartment', 'take', 'building', 'suitcase', 'span', 'week', 'georges', 'learn', 'lot', 'friend', 'bully', 'spy', 'family', 'safer', 'family', 'secret', 'georges', 'redefine', 'reality', 'friendship', 'end', 'book', 'read', 'kindle', 'start', 'night', 'finish', 'suspense', 'heart', 'pound', 'scary', 'want', 'know', 'go', 'happen', 'know', 'article', 'read', 'thing', 'knowledge', 'probably', 'fuel', 'curiosity', 'engrossing', 'read', 'main_character', 'like', 'safer', 'fairly', 'agoraphobic', 'leave', 'apartment', 'building', 'spy', 'club', 'thing', 'sign', 'little', 'sister', 'year', 'kind', 'thing', 'go', 'georges', 'mom', 'work', 'double', 'shift', 'nurse', 'period', 'contract', 'bacterial', 'disease', 'patient', 'hospitalize', 'georges', 'denial', 'fact', 'protect', 'pretend', 'work', 'review', 'copy', 'kindle', 'local', 'library']"
7,"Roald Dahl is the perfect children's author. He takes kids seriously; there are real consequences for adventures here. His books are perfectly constructed. * I can't imagine having a child and not having Dahl's complete works available for him or her. This book apparently comes under fire for being sexist, and I get that. I don't agree, though; after all, the wisest and kindest character is the kid's grandmother. And while Dahl does go out of his way to point out that all witches are women, he goes on to mention that all ghouls and barghests are men. And also, Matilda exists. * Well, almost perfectly; I kept wondering what happened to the mice William and Mary.",5,children,"['roald_dahl', 'perfect', 'child', 'author', 'take', 'kid', 'seriously', 'real', 'consequence', 'adventure', 'book', 'perfectly', 'construct', 'imagine', 'have', 'child', 'have', 'dahl', 'complete', 'work', 'available', 'book', 'apparently', 'come', 'fire', 'sexist', 'agree', 'wise', 'kind', 'character', 'kid', 'grandmother', 'dahl', 'way', 'point', 'witch', 'woman', 'go', 'mention', 'ghoul', 'barghest', 'man', 'matilda', 'exist', 'perfectly', 'keep', 'wonder', 'happen', 'mouse', 'william', 'mary']"
8,"The first time I read this book was at the age of 12 because a close friend recommended it. The cover was colorful and the story was interesting. I remember it was fascinating the way the factory was described. But, for the life of me, I had forgotten about the Oompa-Loompas. The movie brought back memory. A certain book does need a movie so it can paint the thing readers can only imagine. What so grand about a boy who visited a chocolate factory? Duh, the factory itself. I'm not a child anymore but, I would like to go there. And that's what amazing about this book. RD had written it, especially about the factory, so vivid that I once wished it was real. Great book not just for kids but, for adult too. [READ AT YOUR OWN PERIL] 11-year-old Charlie Bucket lives in poverty in a tiny house with his parents and four grandparents. His grandparents share the only bed in the house, located in the only bedroom. Charlie and his parents sleep on a mattress on the floor. One day, Grandpa Joe tells him about the legendary and eccentric chocolatier, Willy Wonka and all the wonderful candy he made until the other candymakers sent in spies to steal his secret recipes, which lead him to close the factory forever. The next day, the newspaper announces that Mr. Wonka is reopening the factory and has invited five children to come on a tour, after they find a golden ticket in a Wonka Bar. Each ticket find is a media sensation and each finder becomes a celebrity. The first four golden tickets are found by the gluttonous Augustus Gloop, the spoiled and petulant Veruca Salt, the gum-addicted Violet Beauregarde, and the TV-obsessed Mike Teavee. One day, Charlie sees a fifty-pence coin (dollar bill in the US version) buried in the snow. He then buys himself a Wonka Bar and finds the fifth golden ticket and shows it to his parents. The ticket says he can bring any family members with him to the factory and Charlie's parents decide to allow Grandpa Joe to go with him. After meeting Mr. Wonka, the kids and their parents go inside where they meet Oompa-Loompas, a race of small people who help Mr. Wonka operate the factory since he rescued them from poverty and fear in their home country Loompaland. The other kids are ejected from the factory in comical, mysterious and painful ways. Augustus gets sucked up the pipe after falling into the Chocolate River in the Chocolate Room, Violet blows up into a giant blueberry after sampling an experimental three-course chewing gum meal in the Inventing Room, Veruca is thrown down the garbage chute in the Nut Room after the nut-testing squirrels consider her a ""bad nut,"" and Mike gets shrunk after he tries to be the first person to be sent by television in the Television Room's Television Chocolate Technology. With only Charlie remaining, Mr. Wonka congratulates him for ""winning"" the factory and, after explaining his true age and the reason behind his golden tickets, names Charlie his successor. They ride the Great Glass Elevator to Charlie's house while the other four children go home after their demises (Augustus squeezed thin, Violet all blue in the face, Veruca covered in garbage, and Mike stretched ten feet tall). Afterwards, Mr. Wonka invites them to come live with him in the factory.",4,children,"['time', 'read', 'book', 'age', 'close', 'friend', 'recommend', 'cover', 'colorful', 'story', 'interesting', 'remember', 'fascinating', 'way', 'factory', 'describe', 'life', 'forget', 'oompa', 'loompas', 'movie', 'bring', 'memory', 'certain', 'book', 'need', 'movie', 'paint', 'thing', 'reader', 'imagine', 'grand', 'boy', 'visit', 'chocolate', 'factory', 'duh', 'factory', 'child', 'anymore', 'like', 'amazing', 'book', 'rd', 'write', 'especially', 'factory', 'vivid', 'wish', 'real', 'great', 'book', 'kid', 'adult', 'read', 'peril', 'year_old', 'charlie', 'bucket', 'live', 'poverty', 'tiny', 'house', 'parent', 'grandparent', 'grandparent', 'share', 'bed', 'house', 'locate', 'bedroom', 'charlie', 'parent', 'sleep', 'mattress', 'floor', 'day', 'grandpa', 'joe', 'tell', 'legendary', 'eccentric', 'chocolatier', 'willy', 'wonka', 'wonderful', 'candy', 'candymaker', 'send', 'spy', 'steal', 'secret', 'recipe', 'lead', 'close', 'factory', 'forever', 'day', 'newspaper', 'announce', 'wonka', 'reopen', 'factory', 'invite', 'child', 'come', 'tour', 'find', 'golden_ticket', 'wonka', 'bar', 'ticket', 'find', 'medium', 'sensation', 'finder', 'celebrity', 'golden_ticket', 'find', 'gluttonous', 'augustus', 'gloop', 'spoiled', 'petulant', 'veruca', 'salt', 'gum', 'addict', 'violet', 'beauregarde', 'tv', 'obsess', 'mike', 'teavee', 'day', 'charlie', 'see', 'pence', 'coin', 'dollar', 'bill', 'version', 'bury', 'snow', 'buy', 'wonka', 'bar', 'find', 'fifth', 'golden_ticket', 'show', 'parent', 'ticket', 'say', 'bring', 'family_member', 'factory', 'charlie', 'parent', 'decide', 'allow', 'grandpa', 'joe', 'meet', 'wonka', 'kid', 'parent', 'inside', 'meet', 'oompa', 'loompas', 'race', 'small', 'people', 'help', 'wonka', 'operate', 'factory', 'rescue', 'poverty', 'fear', 'home', 'country', 'loompaland', 'kid', 'eject', 'factory', 'comical', 'mysterious', 'painful', 'way', 'augustus', 'gets', 'suck', 'pipe', 'fall', 'chocolate', 'river', 'chocolate', 'room', 'violet', 'blow', 'giant', 'blueberry', 'sample', 'experimental', 'course', 'chewing', 'gum', 'meal', 'inventing', 'room', 'veruca', 'throw', 'garbage', 'chute', 'nut', 'room', 'nut', 'test', 'squirrel', 'consider', 'bad', 'nut', 'mike', 'gets', 'shrink', 'try', 'person', 'send', 'television', 'television', 'room', 'television', 'chocolate', 'technology', 'charlie', 'remain', 'wonka', 'congratulate', 'win', 'factory', 'explain', 'true', 'age', 'reason', 'golden_ticket', 'name', 'charlie', 'successor', 'ride', 'great', 'glass', 'elevator', 'charlie', 'house', 'child', 'home', 'demise', 'augustus', 'squeeze', 'thin', 'violet', 'blue', 'face', 'veruca', 'cover', 'garbage', 'mike', 'stretch', 'foot', 'tall', 'wonka', 'invite', 'come', 'live', 'factory']"
9,"I must review this book now. Why, you ask? Because some of the reviews do such a piss-poor job of capturing the magic that makes this book great for young adults and a winner of the 1994 John Newbery Medal, ""For The Most Distinguished Contribution to American Literature for Children."" This book is not likely to blow the socks off an experienced vet of the best English literature has to offer. So don't start the book expecting to find a realistic portrayal of a dystopian society along the lines of some of the science fiction greats. Instead, expect to find a touching story of a young boy as he enters his place in society, only to uncover all the deception surrounding what he has been told as gospel. Jonas's coming-of-age ritual is to stand in front of his community with the rest of the twelve-year-olds and take his adult role. But something strange and unexpected happens, when normally nothing in his society happens out of the ordinary. Cue movie theme song: ""I'm just an ordinary human..."" Briefly, Jonas doesn't fit in and he is given a very special honor. One revelation after another eventually leads him to the conclusion that he can't fit into this monstrous society and he leaves, against all odds, to go ""Elsewhere"". Of particular disappointment to maintaining a cohesive plot is that, with 40 pages left in a 180-page book, they start killing babies. Correction. Not just anyone starts killing babies, the main character's father kills babies. He takes a newborn, fresh out of the womb, weighs it, and then kills it in cold blood, stabbing it in the head with a needle and crooning to it like some sociopath. Next up for execution: the very baby boy the family has grown attached to because it lives at their house. Yes, the book has to end somehow. So, WITH LESS THAN 20 PAGES LEFT, Jonas impulsively scraps whatever plans he had to graciously leave the community and sets out ill-prepared into the wider world to face whatever adversity lurks in God's natural world, away from climate control and Sameness. And let me tell you, the finale may hold up for the limitless imagination of a young teenager, but following any reread or the rational mind of an adult, and the illogical twists and turns necessary to achieve the required affect only serves to highlight how the author has done this to a substantially lesser degree throughout the story. There are a number of fallacies and mathematical impossibilities in the text and they probably won't be noticed by most readers because the author leads you right past them. I don't think pointing out these flaws does much to critique the story besides discrediting the author's opinion by hoping to show carelessness in the writing. Unfortunately, Keely's dissertation on the twisted political undertones of this fictional children's story and some other criticisms I've read have taken hold of me. I've been forced to reevaluate this old favorite of mine from when I understood that the author may have an agenda after all, even if it flies over most kid's awareness. The book is about social control and social freedoms, how society only gives one perspective (the mainstream) to the next generation so they can perpetuate the same morality over and over and over into the future. But nobody's presenting the real truths in their arguments. Even parents tell ""white lies"" to prevent themselves from contradicting themselves. It's about atheism and socialism and abortion and what happens when man plays God with his world. With a mature perspective now, I assert my wish that the author had shown more restraint in the anti-abortion symbolism and message of the finale. Jonas plays the role of mother as he nurtures the child and puts its needs ahead of his own. He is determined to keep the baby even though his parents tell him he's just acting out of emotion, while they have determined it is unrealistic. He runs away from home, trusting in faith to get him through and the memories to help him. A good old-fashioned miracle caps it all off. But I saw none of this the first two times I read the book. Younger readers will enjoy the clear, consistent writing style and the creative names and memorable expressions: ""We accept your apology"" and ""Thank you for your childhood"" and ""Back and back and back"". Lowry makes the big, bad world seem like an overwrought school system, with its rules and social inclusion/exclusion. Lowry captures the pleasures and horrors of life in memorable, vivid detail, all transmitted through the caring hands of an old man. And schoolchildren may rethink the war games they play on the playground. The book is about culture and society, so, even though the writing is easy to read, expect sparse description surrounding most characters. It's about troubling situations and new experiences, emotional reactions and bonds. There is just enough there to tell the story, and not really even enough words there to tell the ending. I don't think anyone will have trouble envisioning the uniform social conditioning reminiscent of 1950's America and the outlying factories and farms similar to Soviet Russia. But wait a second! No one has books in their houses but the Giver has a video screen and Jonas thinks it's completely normal. I laugh. I do.",5,children,"['review', 'book', 'ask', 'review', 'piss', 'poor', 'job', 'capture', 'magic', 'make', 'book', 'great', 'young_adult', 'winner', 'john', 'newbery_medal', 'distinguished', 'contribution', 'american', 'literature', 'children', 'book', 'likely', 'blow', 'sock', 'experienced', 'vet', 'good', 'english', 'literature', 'offer', 'start', 'book', 'expect', 'find', 'realistic', 'portrayal', 'dystopian', 'society', 'line', 'science_fiction', 'great', 'instead', 'expect', 'find', 'touching', 'story', 'young', 'boy', 'enter', 'place', 'society', 'uncover', 'deception', 'surround', 'tell', 'gospel', 'jonas', 'come', 'age', 'ritual', 'stand', 'community', 'rest', 'year_old', 'adult', 'role', 'strange', 'unexpected', 'happen', 'normally', 'society', 'happen', 'ordinary', 'cue', 'movie', 'theme', 'song', 'ordinary', 'human', 'briefly', 'jonas', 'fit', 'give', 'special', 'honor', 'revelation', 'eventually', 'lead', 'conclusion', 'fit', 'monstrous', 'society', 'leave', 'odd', 'particular', 'disappointment', 'maintain', 'cohesive', 'plot', 'page', 'leave', 'page', 'book', 'start', 'kill', 'baby', 'correction', 'start', 'kill', 'baby', 'main_character', 'father', 'kill', 'baby', 'take', 'newborn', 'fresh', 'womb', 'weigh', 'kill', 'cold', 'blood', 'stab', 'head', 'needle', 'croon', 'like', 'sociopath', 'execution', 'baby', 'boy', 'family', 'grow', 'attached', 'live', 'house', 'yes', 'book', 'end', 'page', 'leave', 'jonas', 'impulsively', 'scrap', 'plan', 'graciously', 'leave', 'community', 'set', 'ill', 'prepared', 'wide', 'world', 'face', 'adversity', 'lurk', 'god', 'natural', 'world', 'away', 'climate', 'control', 'sameness', 'let', 'tell', 'finale', 'hold', 'limitless', 'imagination', 'young', 'teenager', 'follow', 'reread', 'rational', 'mind', 'adult', 'illogical', 'twist', 'turn', 'necessary', 'achieve', 'require', 'affect', 'serve', 'highlight', 'author', 'substantially', 'less', 'degree', 'story', 'number', 'fallacy', 'mathematical', 'impossibility', 'text', 'probably', 'will', 'notice', 'reader', 'author', 'lead', 'right', 'past', 'think', 'point', 'flaw', 'critique', 'story', 'discredit', 'author', 'opinion', 'hope', 'carelessness', 'writing', 'unfortunately', 'keely', 'dissertation', 'twisted', 'political', 'undertone', 'fictional', 'child', 'story', 'criticism', 'read', 'take', 'hold', 'force', 'reevaluate', 'old', 'favorite', 'understand', 'author', 'agenda', 'fly', 'kid', 'awareness', 'book', 'social', 'control', 'social', 'freedom', 'society', 'give', 'perspective', 'mainstream', 'generation', 'perpetuate', 'morality', 'future', 'present', 'real', 'truth', 'argument', 'parent', 'tell', 'white', 'lie', 'prevent', 'contradict', 'atheism', 'socialism', 'abortion', 'happen', 'man', 'play', 'god', 'world', 'mature', 'perspective', 'assert', 'wish', 'author', 'show', 'restraint', 'anti', 'abortion', 'symbolism', 'message', 'finale', 'jonas', 'play_role', 'mother', 'nurture', 'child', 'put', 'need', 'ahead', 'determined', 'baby', 'parent', 'tell', 'act', 'emotion', 'determine', 'unrealistic', 'run_away', 'home', 'trust', 'faith', 'memory', 'help', 'good', 'old', 'fashioned', 'miracle', 'cap', 'see', 'time', 'read', 'book', 'young', 'reader', 'enjoy', 'clear', 'consistent', 'writing_style', 'creative', 'name', 'memorable', 'expression', 'accept', 'apology', 'thank', 'childhood', 'lowry', 'make', 'big', 'bad', 'world', 'like', 'overwrought', 'school', 'system', 'rule', 'social', 'inclusion', 'exclusion', 'lowry', 'capture', 'pleasure', 'horror', 'life', 'memorable', 'vivid', 'detail', 'transmit', 'caring', 'hand', 'old', 'man', 'schoolchildren', 'rethink', 'war', 'game', 'play', 'playground', 'book', 'culture', 'society', 'writing', 'easy', 'read', 'expect', 'sparse', 'description', 'surround', 'character', 'troubling', 'situation', 'new', 'experience', 'emotional', 'reaction', 'bond', 'tell', 'story', 'word', 'tell', 'ending', 'think', 'trouble', 'envision', 'uniform', 'social', 'conditioning', 'reminiscent', 'america', 'outlying', 'factory', 'farm', 'similar', 'soviet', 'russia', 'wait', 'second', 'book', 'house', 'giver', 'video', 'screen', 'jonas', 'think', 'completely', 'normal', 'laugh']"
